"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"rh",0.088,0.011,1,7.69913347764157e-129,0,5,"mix_cbd_rh",20
"rh",0.078,0,5,7.69913347764157e-129,0,5,"mix_cbd_rh",20
"rh",0,0,10,7.69913347764157e-129,0,5,"mix_cbd_rh",20
"apc",0.996,1,10,8.22504667109596e-105,0,6,"mix_cbd_rh",20
"apc",1,0.805,1,8.22504667109596e-105,0,6,"mix_cbd_rh",20
"apc",0.89,1,5,8.22504667109596e-105,0,6,"mix_cbd_rh",20
"cbd",0.002,0,10,1.55789015500291e-44,0,6,"mix_cbd_rh",20
"cbd",0,0,5,1.55789015500291e-44,0,6,"mix_cbd_rh",20
"cbd",0,0,1,1.55789015500291e-44,0,6,"mix_cbd_rh",20
"lc",0,0,1,3.36834490095814e-144,0,6,"mix_cbd_rh",20
"lc",0,0,5,3.36834490095814e-144,0,6,"mix_cbd_rh",20
"lc",0,0,10,3.36834490095814e-144,0,6,"mix_cbd_rh",20
"m6",0,0,5,1,0,6,"mix_cbd_rh",20
"m6",0.002,0,10,1,0,6,"mix_cbd_rh",20
"m6",0,0.075,1,1,0,6,"mix_cbd_rh",20
"rh",0,0.12,1,9.50637248178391e-137,0,6,"mix_cbd_rh",20
"rh",0.11,0,5,9.50637248178391e-137,0,6,"mix_cbd_rh",20
"rh",0,0,10,9.50637248178391e-137,0,6,"mix_cbd_rh",20
"apc",1,1,10,6.47811712212672e-93,0,7,"mix_cbd_rh",20
"apc",0.438,0.33,1,6.47811712212672e-93,0,7,"mix_cbd_rh",20
"apc",0.8,1,5,6.47811712212672e-93,0,7,"mix_cbd_rh",20
"cbd",0,0,10,7.36272864400607e-51,0,7,"mix_cbd_rh",20
"cbd",0,0,5,7.36272864400607e-51,0,7,"mix_cbd_rh",20
"cbd",0,0,1,7.36272864400607e-51,0,7,"mix_cbd_rh",20
"lc",0.562,0.509,1,2.43698043324617e-125,0,7,"mix_cbd_rh",20
"lc",0.2,0,5,2.43698043324617e-125,0,7,"mix_cbd_rh",20
"lc",0,0,10,2.43698043324617e-125,0,7,"mix_cbd_rh",20
"m6",0,0,5,1,0,7,"mix_cbd_rh",20
"m6",0,0,10,1,0,7,"mix_cbd_rh",20
"m6",0,0.006,1,1,0,7,"mix_cbd_rh",20
"rh",0,0.155,1,3.21098434558314e-123,0,7,"mix_cbd_rh",20
"rh",0,0,5,3.21098434558314e-123,0,7,"mix_cbd_rh",20
"rh",0,0,10,3.21098434558314e-123,0,7,"mix_cbd_rh",20
"apc",1,1,10,3.43816953521808e-102,0,8,"mix_cbd_rh",20
"apc",0,0.091,1,3.43816953521808e-102,0,8,"mix_cbd_rh",20
"apc",0.919,1,5,3.43816953521808e-102,0,8,"mix_cbd_rh",20
"cbd",0,0,10,1.17685266957783e-23,0,8,"mix_cbd_rh",20
"cbd",0,0,5,1.17685266957783e-23,0,8,"mix_cbd_rh",20
"cbd",0,0,1,1.17685266957783e-23,0,8,"mix_cbd_rh",20
"lc",0,0.002,1,1.41492015728533e-141,0,8,"mix_cbd_rh",20
"lc",0,0,5,1.41492015728533e-141,0,8,"mix_cbd_rh",20
"lc",0,0,10,1.41492015728533e-141,0,8,"mix_cbd_rh",20
"m6",0,0,5,1,0,8,"mix_cbd_rh",20
"m6",0,0,10,1,0,8,"mix_cbd_rh",20
"m6",0.605,0.809,1,1,0,8,"mix_cbd_rh",20
"rh",0.395,0.098,1,1.57782474086863e-137,0,8,"mix_cbd_rh",20
"rh",0.08,0,5,1.57782474086863e-137,0,8,"mix_cbd_rh",20
"rh",0,0,10,1.57782474086863e-137,0,8,"mix_cbd_rh",20
"apc",0.998,1,10,0.00396571191095488,0,9,"mix_cbd_rh",20
"apc",0.998,0.721,1,0.00396571191095488,0,9,"mix_cbd_rh",20
"apc",1,1,5,0.00396571191095488,0,9,"mix_cbd_rh",20
"cbd",0,0,10,6.29146581172723e-91,0,9,"mix_cbd_rh",20
"cbd",0,0,5,6.29146581172723e-91,0,9,"mix_cbd_rh",20
"cbd",0,0,1,6.29146581172723e-91,0,9,"mix_cbd_rh",20
"lc",0,0,1,2.33245327216851e-28,0,9,"mix_cbd_rh",20
"lc",0,0,5,2.33245327216851e-28,0,9,"mix_cbd_rh",20
"lc",0,0,10,2.33245327216851e-28,0,9,"mix_cbd_rh",20
"m6",0,0,5,0.995940766352549,0,9,"mix_cbd_rh",20
"m6",0.002,0,10,0.995940766352549,0,9,"mix_cbd_rh",20
"m6",0.002,0.242,1,0.995940766352549,0,9,"mix_cbd_rh",20
"rh",0,0.037,1,9.35217364959157e-05,0,9,"mix_cbd_rh",20
"rh",0,0,5,9.35217364959157e-05,0,9,"mix_cbd_rh",20
"rh",0,0,10,9.35217364959157e-05,0,9,"mix_cbd_rh",20
"apc",0.999,1,10,1.99845487622371e-94,0,10,"mix_cbd_rh",20
"apc",0.85,0.852,1,1.99845487622371e-94,0,10,"mix_cbd_rh",20
"apc",1,1,5,1.99845487622371e-94,0,10,"mix_cbd_rh",20
"cbd",0,0,10,7.22727045589463e-36,0,10,"mix_cbd_rh",20
"cbd",0,0,5,7.22727045589463e-36,0,10,"mix_cbd_rh",20
"cbd",0,0,1,7.22727045589463e-36,0,10,"mix_cbd_rh",20
"lc",0,0.005,1,1.40470566948322e-133,0,10,"mix_cbd_rh",20
"lc",0,0,5,1.40470566948322e-133,0,10,"mix_cbd_rh",20
"lc",0,0,10,1.40470566948322e-133,0,10,"mix_cbd_rh",20
"m6",0,0,5,1,0,10,"mix_cbd_rh",20
"m6",0.001,0,10,1,0,10,"mix_cbd_rh",20
"m6",0.15,0.138,1,1,0,10,"mix_cbd_rh",20
"rh",0,0.005,1,1.63712327241421e-131,0,10,"mix_cbd_rh",20
"rh",0,0,5,1.63712327241421e-131,0,10,"mix_cbd_rh",20
"rh",0,0,10,1.63712327241421e-131,0,10,"mix_cbd_rh",20
"apc",1,1,10,6.3185797614918e-98,0,11,"mix_cbd_rh",20
"apc",0.968,0.797,1,6.3185797614918e-98,0,11,"mix_cbd_rh",20
"apc",0.749,1,5,6.3185797614918e-98,0,11,"mix_cbd_rh",20
"cbd",0,0,10,1.30505006695299e-45,0,11,"mix_cbd_rh",20
"cbd",0,0,5,1.30505006695299e-45,0,11,"mix_cbd_rh",20
"cbd",0.032,0,1,1.30505006695299e-45,0,11,"mix_cbd_rh",20
"lc",0,0.004,1,7.31400801978079e-140,0,11,"mix_cbd_rh",20
"lc",0,0,5,7.31400801978079e-140,0,11,"mix_cbd_rh",20
"lc",0,0,10,7.31400801978079e-140,0,11,"mix_cbd_rh",20
"m6",0,0,5,1,0,11,"mix_cbd_rh",20
"m6",0,0,10,1,0,11,"mix_cbd_rh",20
"m6",0,0.198,1,1,0,11,"mix_cbd_rh",20
"rh",0,0.002,1,1.94261951744135e-135,0,11,"mix_cbd_rh",20
"rh",0.251,0,5,1.94261951744135e-135,0,11,"mix_cbd_rh",20
"rh",0,0,10,1.94261951744135e-135,0,11,"mix_cbd_rh",20
"apc",0.988,1,10,2.06267574694864e-102,0,12,"mix_cbd_rh",20
"apc",0,0.04,1,2.06267574694864e-102,0,12,"mix_cbd_rh",20
"apc",0.985,1,5,2.06267574694864e-102,0,12,"mix_cbd_rh",20
"cbd",0.002,0,10,7.55000154514637e-43,0,12,"mix_cbd_rh",20
"cbd",0,0,5,7.55000154514637e-43,0,12,"mix_cbd_rh",20
"cbd",0,0,1,7.55000154514637e-43,0,12,"mix_cbd_rh",20
"lc",0.295,0.009,1,1.12208486858229e-136,0,12,"mix_cbd_rh",20
"lc",0.007,0,5,1.12208486858229e-136,0,12,"mix_cbd_rh",20
"lc",0,0,10,1.12208486858229e-136,0,12,"mix_cbd_rh",20
"m6",0,0,5,1,0,12,"mix_cbd_rh",20
