c,g_t_x
1951,0.21000248731949325
1952,0.22061539178655915
1953,0.22275448870956438
1954,0.23207489311873772
1955,0.21393885319284653
1956,0.223217190847872
1957,0.22036611213103252
1958,0.2420381308143568
1959,0.22609774120251855
1960,0.19417971428293435
1961,0.19933768540229846
1962,0.1572631553983141
1963,0.1291563331488722
1964,0.10532686949079519
1965,0.12181987817510358
1966,0.062018293878348695
1967,0.1040205532106591
1968,0.11493783497099166
1969,0
1870,0
1871,0.03770980656660767
1872,0.00675902406312251
1873,-0.01340743638454015
1874,0.04260112619033749
1875,0.024186533489980497
1876,0.053283740288797093
1877,0.07971143023770214
1878,0.06719377598865611
1879,0.0690225775279388
1880,0.10003657285508402
1881,0.0566957799713835
1882,0.0620953845692853
1883,0.07675070012705033
1884,0.08162229484298351
1885,0.0876202203975167
1886,0.12189157031864034
1887,0.12904424482311483
1888,0.09936630951129419
1889,0.12235122759068662
1890,0.13090585063088084
1891,0.13255466747356345
1892,0.14938533590481629
1893,0.1558065249098499
1894,0.16936064999620937
1895,0.17666527762047907
1896,0.2119590982834664
1897,0.2239170326727247
1898,0.2342698954092591
1899,0.2633433972783385
1900,0.25464558146580363
1901,0.26813434386952234
1902,0.2771729758145694
1903,0.2880987720025299
1904,0.29977667621023135
1905,0.28232543391462084
1906,0.3108515611329899
1907,0.30381549883844117
1908,0.32106804554889173
1909,0.31964644546142656
1910,0.31482416375419436
1911,0.3052407889971269
1912,0.30921894102544933
1913,0.3091169254794635
1914,0.3141383874887819
1915,0.2959071151409204
1916,0.26141444024916133
1917,0.36367199119224586
1918,0.31165246974393523
1919,0.2699004802954351
1920,0.307296701428653
1921,0.2904783666155333
1922,0.3048948727637589
1923,0.27097995934310615
1924,0.2790394302014486
1925,0.2782346736598919
1926,0.2608001901896407
1927,0.2824200788670493
1928,0.27701227450055094
1929,0.2561526639236866
1930,0.24841063102534072
1931,0.22919191881229756
1932,0.21603570339526681
1933,0.19924409177361965
1934,0.1805681757631193
1935,0.15854626130066482
1936,0.15975464846433574
1937,0.13597864939419602
1938,0.11919031876797909
1939,0.12287638190696354
1940,0.11280169441786358
1941,0.14334864188064605
1942,0.16908563117348177
1943,0.15315044469813816
1944,0.1675071790283223
1945,0.18466996416302436
1946,0.18268464446375898
1947,0.18028149277786734
1948,0.18818232564929216
1949,0.1900294307878393
1950,0.18953388545062222
1951,0.23177406228004382
1952,0.2277123713927961
1953,0.2255608677477007
1954,0.24113183485009387
1955,0.2317373823493584
1956,0.2637458223622326
1957,0.2575862561265497
1958,0.2223552433487597
1959,0.23438396129843223
1960,0.22277437106560272
1961,0.1674224711087036
1962,0.14387529200769883
1963,0.13838400977209162
1964,0.10337765183486734
1965,0.07921032331669846
1966,0.09934663361854884
1967,0.07561095630333839
1968,0.0616523498714667
1969,0
1870,0
1871,0.047794007276292676
1872,0.011129670553360454
1873,-0.0017010881614024044
1874,0.04503793094526741
1875,0.037568176632573745
1876,0.04560560324230332
1877,0.06534509661000983
1878,0.05026590918933346
1879,0.07962840235302489
1880,0.08645251071455293
1881,0.06313964438554955
1882,0.05976105544123969
1883,0.07385272418200856
1884,0.08603378519684578
1885,0.09024867912154566
1886,0.1070412710060994
1887,0.11810375092257111
1888,0.09896013011415877
1889,0.11606807280672173
1890,0.12963407757946016
1891,0.1267006347843027
1892,0.15687411866697445
1893,0.1527749274637058
1894,0.17289683026084235
1895,0.19932900010207527
1896,0.2133908307302632
1897,0.20506946315877875
1898,0.23898569836231792
1899,0.24060228931657923
1900,0.25835016307626973
1901,0.25787437108746
1902,0.289854305126935
1903,0.30744769382181997
1904,0.30545419670840207
1905,0.3051341353961171
1906,0.3074781156964015
1907,0.3135563176897709
1908,0.31405612784746817
1909,0.3232362251186283
1910,0.3191811668590545
1911,0.30995649356536614
1912,0.2916786143965948
1913,0.2944613513483523
1914,0.308501860574402
1915,0.29930358284303754
1916,0.2556537747917081
1917,0.3727214445768243
1918,0.31509245846284406
1919,0.2805824671707633
1920,0.3093807017666272
1921,0.29538147856497415
1922,0.28442173854098507
1923,0.26994797966699186
1924,0.27771794320466464
1925,0.28593564875446387
1926,0.2687412624754541
1927,0.2644626775795124
1928,0.25605229076520314
1929,0.26240197738561744
1930,0.24733081420658115
1931,0.22100402161173385
1932,0.2082764451591434
1933,0.19327493761894662
1934,0.1760849878192014
1935,0.15066314158478777
1936,0.13547985778200253
1937,0.1293347768809583
1938,0.11986361335588362
1939,0.11347337065534661
1940,0.12463578251979847
1941,0.13408826869391582
1942,0.1267313915758784
1943,0.14516330574575867
1944,0.16774876801991495
1945,0.15779584658591492
1946,0.1810555220657338
1947,0.18048784184620412
1948,0.18975823367912706
1949,0.21025337365118776
1950,0.19483766406425537
1951,0.20185996282823157
1952,0.22420843914852323
1953,0.22604775525481333
1954,0.23590881075782869
1955,0.21343145645023381
1956,0.2176205656108297
1957,0.20988586256849492
1958,0.2241942424894366
1959,0.20856777487390973
1960,0.18417141395192052
1961,0.18236415175560416
1962,0.14918064756598173
1963,0.12330381626084869
1964,0.10213077606813932
1965,0.11708401033415136
1966,0.08228317457123961
1967,0.111250808672284
1968,0.10162830189855708
1969,0
1870,0
1871,0.00551268641320303
1872,0.011284123405785048
1873,0.030480012061666232
1874,0.032948404515232566
1875,0.04533156564972333
1876,0.07539029058642346
1877,0.08921906317136175
1878,0.07882926246586588
1879,0.06872532167262464
1880,0.06582823267361042
1881,0.04871226421454409
1882,0.08139150463522142
1883,0.07327940480235227
1884,0.0893514557873813
1885,0.07606571202718959
1886,0.10311591580589122
1887,0.12247056319033757
1888,0.11492622306039534
1889,0.13156989090681323
1890,0.12340635275274539
1891,0.14306638822913978
1892,0.1613281289398982
1893,0.14739278895789149
1894,0.17183472616425702
1895,0.1917462696698324
1896,0.19911563508219668
1897,0.20563461549745787
1898,0.23570491779054714
1899,0.2355038529002496
1900,0.2586551399194398
1901,0.25909695981236047
1902,0.29158954715395097
1903,0.3069294072683284
1904,0.3030108995654447
1905,0.3022571847642702
1906,0.307303625495537
1907,0.3094834513962065
1908,0.30579813971899367
1909,0.324541159577473
1910,0.31149421583474063
1911,0.30429508354027784
1912,0.28643217317887676
1913,0.28825546164368715
1914,0.301836487297677
1915,0.30035226368118395
1916,0.2519904223197172
1917,0.3581662951669287
1918,0.3100565329772237
1919,0.2779565595249679
1920,0.300356716045532
1921,0.28013789570119074
1922,0.28535092481231367
1923,0.25131834550632304
1924,0.26562338675098524
1925,0.27662609263048316
1926,0.26180253147727933
1927,0.26719315655532766
1928,0.2710587521061214
1929,0.2522715959469231
1930,0.24314609767069326
1931,0.21409483475452729
1932,0.20306473819506626
1933,0.1865941928598677
1934,0.16491621266876733
1935,0.14418849538830789
1936,0.14774813243488444
1937,0.1351650688195939
1938,0.12085796328345685
1939,0.11352482044399029
1940,0.1120417812148249
1941,0.14172847864645877
1942,0.14796375818196694
1943,0.13637911496538477
1944,0.15279218937981523
1945,0.17755670285236774
1946,0.18017968173321167
1947,0.17741864229683138
1948,0.20120194507511885
1949,0.21248835719087233
1950,0.19676833496324983
1951,0.2184792753784528
1952,0.22737383890944995
1953,0.22763835367691035
1954,0.23032242119017549
1955,0.2209575883835363
1956,0.22432321478813133
1957,0.21499280914240287
1958,0.22448935821137653
1959,0.21767876457230853
1960,0.19489181426913726
1961,0.18429034844929865
1962,0.15711247977167442
1963,0.13332937571583448
1964,0.11117240219632894
1965,0.13202647319167635
1966,0.09544301982241157
1967,0.0987891107979732
1968,0.07137154712969973
1969,0
1870,0
1871,0.03166860871725269
1872,0.014018270878150597
1873,0.028554253156953167
1874,0.025820219614226966
1875,0.023693973082126993
1876,0.0661390544541743
1877,0.07521610100408828
1878,0.08182629033713167
1879,0.07895406671263797
1880,0.07078171724280871
1881,0.06286505786151365
1882,0.058598346320900156
1883,0.07923034077218118
1884,0.09300648022641689
1885,0.09585946040180794
1886,0.11520456087200126
1887,0.11638942653442196
1888,0.09807625994576274
1889,0.1258352857491106
1890,0.13267529569933467
1891,0.1437644678690563
1892,0.14166092803884767
1893,0.14857588374125344
1894,0.17597967134950238
1895,0.1815135256911317
1896,0.21668026604661633
1897,0.211754307009933
1898,0.2204994739360767
1899,0.25602346516465957
1900,0.2500211564178828
1901,0.26071599231583703
1902,0.27509188064535994
1903,0.2784096965383375
1904,0.2996337771009263
1905,0.2817426425202777
1906,0.3071314129167599
1907,0.2946097072704248
1908,0.3206292648843538
1909,0.30522815908885986
1910,0.3116428862277729
1911,0.30320295713674195
1912,0.304286864015938
1913,0.29944801105078994
1914,0.30655152893100535
1915,0.2805922498541959
1916,0.25225015844279614
1917,0.360665254650507
1918,0.30032540561755616
1919,0.2581219183453961
1920,0.30264596101302405
1921,0.29191835299227653
1922,0.28844717313964807
1923,0.27102636934974117
1924,0.2780048616848852
1925,0.270557442097033
1926,0.2550004661170819
1927,0.26571162430118234
1928,0.25071391933960024
1929,0.25540258578058656
1930,0.24131999429304052
1931,0.22453287217750428
1932,0.20963988108858794
1933,0.1931622862853333
1934,0.18454289758107328
1935,0.15317199490470895
1936,0.13266507860502738
1937,0.11611138874634552
1938,0.11732037814572124
1939,0.10561552256982545
1940,0.11475988172836969
1941,0.12388823189164885
1942,0.1404228463952626
1943,0.15806167565473728
1944,0.1774708295944044
1945,0.1552276666509416
1946,0.16672606249970623
1947,0.17734290779987288
1948,0.16731194218662399
