"fitted_model","stacking","pseudo_BMA","n_years_val.x","BMA","n_years_val.y","sim","gen_model","n_years"
"rh",0,0,10,5.45499228201418e-120,0,6,"apc",20
"apc",0.439,0.005,10,2.52791872414569e-91,0,7,"apc",20
"apc",0.777,0.854,1,2.52791872414569e-91,0,7,"apc",20
"apc",0.714,1,5,2.52791872414569e-91,0,7,"apc",20
"cbd",0,0,10,7.9044814136584e-92,0,7,"apc",20
"cbd",0.162,0,5,7.9044814136584e-92,0,7,"apc",20
"cbd",0,0,1,7.9044814136584e-92,0,7,"apc",20
"lc",0.222,0,1,8.49289599528275e-153,0,7,"apc",20
"lc",0.124,0,5,8.49289599528275e-153,0,7,"apc",20
"lc",0,0,10,8.49289599528275e-153,0,7,"apc",20
"m6",0,0,5,1,0,7,"apc",20
"m6",0.561,0.995,10,1,0,7,"apc",20
"m6",0,0.146,1,1,0,7,"apc",20
"rh",0,0,1,1.85993088100335e-120,0,7,"apc",20
"rh",0,0,5,1.85993088100335e-120,0,7,"apc",20
"rh",0,0,10,1.85993088100335e-120,0,7,"apc",20
"apc",1,1,10,5.78423379068782e-87,0,8,"apc",20
"apc",0.13,0.249,1,5.78423379068782e-87,0,8,"apc",20
"apc",1,1,5,5.78423379068782e-87,0,8,"apc",20
"cbd",0,0,10,1.32383238449024e-85,0,8,"apc",20
"cbd",0,0,5,1.32383238449024e-85,0,8,"apc",20
"cbd",0,0,1,1.32383238449024e-85,0,8,"apc",20
"lc",0,0,1,1.19071915925047e-151,0,8,"apc",20
"lc",0,0,5,1.19071915925047e-151,0,8,"apc",20
"lc",0,0,10,1.19071915925047e-151,0,8,"apc",20
"m6",0,0,5,1,0,8,"apc",20
"m6",0,0,10,1,0,8,"apc",20
"m6",0.498,0.456,1,1,0,8,"apc",20
"rh",0.371,0.295,1,4.18584411393328e-116,0,8,"apc",20
"rh",0,0,5,4.18584411393328e-116,0,8,"apc",20
"rh",0,0,10,4.18584411393328e-116,0,8,"apc",20
"apc",1,1,10,4.70517471059874e-89,0,9,"apc",20
"apc",0.272,0.285,1,4.70517471059874e-89,0,9,"apc",20
"apc",0.965,1,5,4.70517471059874e-89,0,9,"apc",20
"cbd",0,0,10,1.45559129873102e-85,0,9,"apc",20
"cbd",0.01,0,5,1.45559129873102e-85,0,9,"apc",20
"cbd",0.067,0,1,1.45559129873102e-85,0,9,"apc",20
"lc",0.124,0.006,1,6.39659040427693e-145,0,9,"apc",20
"lc",0.025,0,5,6.39659040427693e-145,0,9,"apc",20
"lc",0,0,10,6.39659040427693e-145,0,9,"apc",20
"m6",0,0,5,1,0,9,"apc",20
"m6",0,0,10,1,0,9,"apc",20
"m6",0.435,0.59,1,1,0,9,"apc",20
"rh",0.101,0.119,1,2.39697990528511e-123,0,9,"apc",20
"rh",0,0,5,2.39697990528511e-123,0,9,"apc",20
"rh",0,0,10,2.39697990528511e-123,0,9,"apc",20
"apc",1,1,10,1.85889175899451e-86,0,10,"apc",20
"apc",0.967,0.863,1,1.85889175899451e-86,0,10,"apc",20
"apc",0.733,1,5,1.85889175899451e-86,0,10,"apc",20
"cbd",0,0,10,1.06057273331679e-67,0,10,"apc",20
"cbd",0.062,0,5,1.06057273331679e-67,0,10,"apc",20
"cbd",0,0,1,1.06057273331679e-67,0,10,"apc",20
"lc",0,0,1,5.52902822177555e-141,0,10,"apc",20
"lc",0.056,0,5,5.52902822177555e-141,0,10,"apc",20
"lc",0,0,10,5.52902822177555e-141,0,10,"apc",20
"m6",0.148,0,5,1,0,10,"apc",20
"m6",0,0,10,1,0,10,"apc",20
"m6",0.033,0.131,1,1,0,10,"apc",20
"rh",0,0.006,1,6.79134616456763e-111,0,10,"apc",20
"rh",0,0,5,6.79134616456763e-111,0,10,"apc",20
"rh",0,0,10,6.79134616456763e-111,0,10,"apc",20
"apc",0.579,0.898,10,3.68244213522546e-81,0,11,"apc",20
"apc",0.784,0.888,1,3.68244213522546e-81,0,11,"apc",20
"apc",0.136,0.167,5,3.68244213522546e-81,0,11,"apc",20
"cbd",0.057,0,10,1.13804220905252e-67,0,11,"apc",20
"cbd",0.361,0,5,1.13804220905252e-67,0,11,"apc",20
"cbd",0,0,1,1.13804220905252e-67,0,11,"apc",20
"lc",0,0,1,1.9902453598352e-136,0,11,"apc",20
"lc",0.047,0,5,1.9902453598352e-136,0,11,"apc",20
"lc",0,0,10,1.9902453598352e-136,0,11,"apc",20
"m6",0,0.051,5,1,0,11,"apc",20
"m6",0.364,0.102,10,1,0,11,"apc",20
"m6",0,0.084,1,1,0,11,"apc",20
"rh",0.216,0.028,1,3.43556156664756e-110,0,11,"apc",20
"rh",0.456,0.782,5,3.43556156664756e-110,0,11,"apc",20
"rh",0,0,10,3.43556156664756e-110,0,11,"apc",20
"apc",1,1,10,0.900241909064479,0,12,"apc",20
