x,a_x
81,-2.1092967198947266
82,-2.0086942966162034
83,-1.9038028873062562
84,-1.8054836907457212
85,-1.7009834191343005
86,-1.6036563319050732
87,-1.5056114835442578
88,-1.4139517521381173
89,-1.305987240014695
90,-1.2251517085479948
50,-5.052791308041753
51,-4.954813422419527
52,-4.856382843320208
53,-4.753836771788981
54,-4.680057068877911
55,-4.571697201485813
56,-4.486784728636719
57,-4.370498374551792
58,-4.283329448214461
59,-4.1841520909431935
60,-4.09526725666709
61,-4.00179130501053
62,-3.904398757211856
63,-3.8206465138547276
64,-3.7234724436569757
65,-3.6214130236033144
66,-3.5160384595000846
67,-3.4581028218825502
68,-3.3514518225652847
69,-3.244482673247668
70,-3.158664433557487
71,-3.07805679329311
72,-2.97594149605421
73,-2.8878073772352955
74,-2.7978599350168354
75,-2.700088941805827
76,-2.5885795267106335
77,-2.490583515084571
78,-2.3960468947386038
79,-2.294549952783437
80,-2.202100532777571
81,-2.110291374374528
82,-2.0082295753832624
83,-1.9123410966909398
84,-1.810113944088652
85,-1.7035001280590079
86,-1.608853650418172
87,-1.5036635744990108
88,-1.4125102959360518
89,-1.305388421151947
90,-1.2240371363590752
50,-5.049605140028851
51,-4.949639643219018
52,-4.863478390810599
53,-4.760206812872709
54,-4.68034944493621
55,-4.566550604119148
56,-4.4720578275301746
57,-4.361317942719798
58,-4.275435510953248
59,-4.178470440397157
60,-4.079273324690732
61,-3.9948431157018587
62,-3.892487524568845
63,-3.8174166780148853
64,-3.72150569963027
65,-3.6281494094616598
66,-3.537453367745932
67,-3.449690145117683
68,-3.354345477733152
69,-3.258096859124169
70,-3.1625299995031084
71,-3.0703731720794005
72,-2.9816144378147555
73,-2.891217423810403
74,-2.7934351541800138
75,-2.694259610678683
76,-2.6032621176587005
77,-2.50701996538295
78,-2.4097904932255005
79,-2.305830572078328
80,-2.1992950070592925
81,-2.111470532048363
82,-2.015235916505904
83,-1.9106691303755423
84,-1.8109059136322219
85,-1.707029381724016
86,-1.6078949373818354
87,-1.5086895737536856
88,-1.426430481368181
89,-1.3200666907071013
90,-1.2298296138356581
50,-5.0542220354972525
51,-4.952660890099556
52,-4.857172560880398
53,-4.758951650854879
54,-4.6663709719655975
55,-4.576395356283225
56,-4.473135373869496
57,-4.381012867524709
58,-4.28572628188132
59,-4.184563825215095
60,-4.088477423696726
61,-4.003165292316015
62,-3.9021211349957188
63,-3.819599559984332
64,-3.724265403510186
65,-3.6269014308359244
66,-3.5246790302594815
67,-3.4565987067529282
68,-3.3587989971791945
69,-3.2551252319321224
70,-3.1730727070405824
71,-3.0848678995100953
72,-2.978335624337001
73,-2.8852523853254333
74,-2.800750136798514
75,-2.7042090171502933
76,-2.592826067969443
77,-2.497311366675242
78,-2.4029519324793105
79,-2.297275767453318
80,-2.2012805442718744
81,-2.116997856683083
82,-2.0173437175368925
83,-1.9144873886490223
84,-1.8180989363908522
85,-1.7112692479034162
86,-1.6159036533020357
87,-1.512103757651208
88,-1.4231053182412778
89,-1.3330433828382422
90,-1.218552766297755
50,-5.045546622032604
51,-4.957077568666685
52,-4.866797029840565
53,-4.757340074670983
54,-4.674386189619465
55,-4.5622180940846215
56,-4.477960930953974
57,-4.378570889227262
58,-4.272646686200096
59,-4.189567017548382
60,-4.0852834049402125
61,-4.007566602370264
62,-3.8961749827681227
63,-3.824068845287996
64,-3.7216038208490754
65,-3.622704658240156
66,-3.5261637301477813
67,-3.455214011389734
