t,k_t
2016,-0.7839348501646672
2017,-0.8161357398748661
2018,-0.8154003283043811
2019,-0.832882111508561
1960,0
1961,0.07390405701162285
1962,0.001141152835016267
1963,0.03983596649477733
1964,0.06692521476395517
1965,6.703131156158187e-4
1966,0.03814747896206821
1967,0.010579387302265535
1968,0.00575036355045511
1969,0.03889405768424473
1970,0.021574720492406625
1971,-0.008164922211716974
1972,-0.014472332602183911
1973,-0.02934641680804342
1974,-0.03513746864869745
1975,-0.07465299557944716
1976,-0.06357730394773387
1977,-0.07302734350118853
1978,-0.12323295908055597
1979,-0.13173152933815463
1980,-0.16884589662226296
1981,-0.16431221117709205
1982,-0.18999491874079888
1983,-0.20307061805802662
1984,-0.2050693228962018
1985,-0.23617393146071755
1986,-0.24261070609787658
1987,-0.2563058944355329
1988,-0.32156474601624724
1989,-0.3499285475502023
1990,-0.34393070917957674
1991,-0.3786053954231572
1992,-0.39502462611364025
1993,-0.40556948666576015
1994,-0.40608452160323466
1995,-0.44132914450811744
1996,-0.4314307436112247
1997,-0.45692301839751176
1998,-0.4775179219112963
1999,-0.4884499629331239
2000,-0.5012357743039412
2001,-0.5048296826246945
2002,-0.5418627581624514
2003,-0.5295733267393925
2004,-0.5526306358691516
2005,-0.6065327745590847
2006,-0.6114531006852697
2007,-0.657224231407096
2008,-0.6799619463061295
2009,-0.6680896380807488
2010,-0.6847505920068817
2011,-0.7038625925593726
2012,-0.7481105774329355
2013,-0.7253418947526389
2014,-0.7410592390426483
2015,-0.7913039986352701
2016,-0.7928839508224147
2017,-0.8127331861000285
2018,-0.8257076327360624
2019,-0.8308940393849268
1960,0
1961,0.06965562057190361
1962,0.005304290030588951
1963,0.03671478228533714
1964,0.07070939181685651
1965,0.00278491674121347
1966,0.03039340772728934
1967,0.01502811366528967
1968,0.006529108180568916
1969,0.03333550773448884
1970,0.032171309030595605
1971,-0.010907240489823247
1972,-0.020074201647089354
1973,-0.036477944129920455
1974,-0.04664266875567435
1975,-0.082710488616474
1976,-0.06578995070538263
1977,-0.06342857913869013
1978,-0.13986455573256884
1979,-0.12588511808213626
1980,-0.16711025551789738
1981,-0.17134788044566376
1982,-0.19227652279221413
1983,-0.2105245503440879
1984,-0.2046248776024961
1985,-0.23623362175868004
1986,-0.2510991459502797
1987,-0.2710602860912722
1988,-0.3267559583348482
1989,-0.3566863133661328
1990,-0.3513762098585686
1991,-0.3864319505725523
1992,-0.39018259765501506
1993,-0.4112515358905309
1994,-0.4011982109990723
1995,-0.4271670561476531
1996,-0.42491583907285246
1997,-0.4494073034467515
1998,-0.4669491454442349
1999,-0.469512646187077
2000,-0.4832412834987598
2001,-0.5166675265912438
2002,-0.5423523993386655
2003,-0.5489600925484766
2004,-0.5532637340993263
2005,-0.5923593909210736
2006,-0.6157698155684367
2007,-0.6450827457739292
2008,-0.6626087905667065
2009,-0.6625082026754362
2010,-0.690265770263711
2011,-0.716466484562135
2012,-0.7301829661434247
2013,-0.7186529579680758
2014,-0.7396406943433166
2015,-0.793700679411753
2016,-0.7853024426377762
2017,-0.8124273445418776
2018,-0.8207429506791803
2019,-0.8564544984432545
1960,0
1961,0.07426105684368627
1962,0.021130450825437373
1963,0.041419959496985057
1964,0.0702182753884768
1965,7.71252549873608e-5
1966,0.02995765406748083
1967,0.016768474077790325
1968,9.881472628984421e-4
1969,0.03488021442466348
1970,0.028831671834573285
1971,-4.1403582285939834e-4
1972,-0.01986295887706461
1973,-0.03918334539806106
1974,-0.041649581474342785
1975,-0.07834423912996867
1976,-0.05903756174666291
1977,-0.06361564954842443
1978,-0.1275930168448555
1979,-0.12390725268643323
1980,-0.16858439876595646
1981,-0.1645528015208917
1982,-0.18426175129913985
1983,-0.2173997666505957
1984,-0.2117190573457614
1985,-0.2408910487311127
1986,-0.23640196969142083
1987,-0.27379608266137917
1988,-0.3248577517574208
1989,-0.34782622131026736
1990,-0.34626370969159526
1991,-0.3862469485774973
1992,-0.4158090944597161
1993,-0.40964057695816314
1994,-0.3994194210398896
1995,-0.43408607826544066
1996,-0.43774285792226453
1997,-0.4642256311646789
1998,-0.48174922181820223
1999,-0.4845717860024887
2000,-0.487626138276905
2001,-0.49859886824966515
2002,-0.5283721262529698
2003,-0.52143377802637
2004,-0.545546968306211
2005,-0.5993655093609366
2006,-0.6125612821566955
2007,-0.6540106499271002
2008,-0.6772081619975628
2009,-0.6652420050944203
2010,-0.6823346695401744
2011,-0.6977735901482588
2012,-0.7438244005029522
2013,-0.7202141776163521
2014,-0.7323564552398664
2015,-0.7929942540268021
2016,-0.781888365149537
2017,-0.8083867691382087
2018,-0.8346169060878978
2019,-0.8187882587871553
1960,0
1961,0.07042148154915447
1962,-0.001062823232636613
1963,0.034327571673430944
1964,0.05508703568412681
1965,-0.007032348556482884
1966,0.012866704375467365
1967,-0.004148716796112201
1968,-0.004632861562067569
1969,0.049226400099709355
1970,0.021802032433730457
