"lc","apc","cbd","m6","rh","stacking","pseudo_BMA","BMA","sim","gen_model","n_years","n_years_val"
52.9740620093902,37.5711239582602,47.8360263404778,38.6813349877882,47.9956669300468,38.6919593731679,38.0469473753944,38.6813349877882,1,"mix_cbd_rh",20,1
52.9740620093902,37.5711239582602,47.8360263404778,38.6813349877882,47.9956669300468,36.3537184454877,37.5711239582602,38.6813349877882,1,"mix_cbd_rh",20,5
52.9740620093902,37.5711239582602,47.8360263404778,38.6813349877882,47.9956669300468,37.2194806724921,37.5711239582602,38.6813349877882,1,"mix_cbd_rh",20,10
51.7520710005819,46.3667386589937,54.800119231483,51.7409727412256,48.9726640226917,48.3509111398412,48.8120033836653,51.7409727412256,2,"mix_cbd_rh",20,1
51.7520710005819,46.3667386589937,54.800119231483,51.7409727412256,48.9726640226917,46.4670486228938,46.3744982268246,51.7409727412256,2,"mix_cbd_rh",20,5
51.7520710005819,46.3667386589937,54.800119231483,51.7409727412256,48.9726640226917,46.3667386589937,46.3667386589937,51.7409727412256,2,"mix_cbd_rh",20,10
52.275464722869,41.5032968222933,50.6665087091809,45.0314823836462,44.5338190106182,41.4655139360556,41.2070243891652,45.0314823836462,3,"mix_cbd_rh",20,1
52.275464722869,41.5032968222933,50.6665087091809,45.0314823836462,44.5338190106182,41.4206125321521,41.5032968222933,45.0314823836462,3,"mix_cbd_rh",20,5
52.275464722869,41.5032968222933,50.6665087091809,45.0314823836462,44.5338190106182,41.8235644735309,41.3333049253733,45.0314823836462,3,"mix_cbd_rh",20,10
61.7247472390085,46.4596752521505,55.4518211766623,55.6849382019534,56.9900833509162,53.052842373156,54.8019100845274,55.6849382019534,4,"mix_cbd_rh",20,1
61.7247472390085,46.4596752521505,55.4518211766623,55.6849382019534,56.9900833509162,46.2426700688046,46.4596752521505,55.6849382019534,4,"mix_cbd_rh",20,5
61.7247472390085,46.4596752521505,55.4518211766623,55.6849382019534,56.9900833509162,47.0440292790513,46.4596752521505,55.6849382019534,4,"mix_cbd_rh",20,10
55.2081848878504,39.979413159631,51.9340866678818,48.5579174444209,46.6638306833987,41.986478205195,44.5318972983328,48.5579174444209,5,"mix_cbd_rh",20,1
55.2081848878504,39.979413159631,51.9340866678818,48.5579174444209,46.6638306833987,39.8325951794243,39.979413159631,48.5579174444209,5,"mix_cbd_rh",20,5
55.2081848878504,39.979413159631,51.9340866678818,48.5579174444209,46.6638306833987,39.6995294151196,39.979413159631,48.5579174444209,5,"mix_cbd_rh",20,10
51.4166438715621,40.4181853597598,51.4848626471514,41.4274967361511,51.8969311046315,40.4181853597598,40.5944142100221,41.4274967361511,6,"mix_cbd_rh",20,1
51.4166438715621,40.4181853597598,51.4848626471514,41.4274967361511,51.8969311046315,40.8945681863969,40.4181853597598,41.4274967361511,6,"mix_cbd_rh",20,5
51.4166438715621,40.4181853597598,51.4848626471514,41.4274967361511,51.8969311046315,40.4017657827426,40.4181853597598,41.4274967361511,6,"mix_cbd_rh",20,10
57.2331872812027,39.6351375142776,53.0442598986445,47.6039255819882,50.1733884911546,42.8208142944646,43.9949755708259,47.6039255819882,7,"mix_cbd_rh",20,1
57.2331872812027,39.6351375142776,53.0442598986445,47.6039255819882,50.1733884911546,38.0266632493762,39.6351375142776,47.6039255819882,7,"mix_cbd_rh",20,5
57.2331872812027,39.6351375142776,53.0442598986445,47.6039255819882,50.1733884911546,39.6351375142776,39.6351375142776,47.6039255819882,7,"mix_cbd_rh",20,10
